,mass,epsilon_squared
0,0.01,2.8784309298331835e-09
1,0.02,7.698774194602752e-09
2,0.03,1.6926299320524832e-08
3,0.04,3.325530176763095e-08
4,0.05,5.9498213740376345e-08
5,0.06,1.1022560267626029e-07
6,0.07,1.8210025487985205e-07
7,0.08,3.2403476473523793e-07
8,0.09,5.056936907063894e-07
9,0.1,7.628544823072524e-07
